Order ID,UserId,User_Name,Age,Gender,User Account Number,Bank_Name,IFSC_CODE,Restaurant_id,Restaurant_name,Restaurant City,Order Date,Item Name,Quantity,Product Price,Total products
25553,31,Arun,22,1,S6301254597,STATE BANK OF INDIA,SBIN0071256,6600060,Sandubas Caf��,Bras�_lia,3/8/2019 17:23,Chicken Tikka Biryani,3,766.5,3
25552,32,Basant,18,0,S6301254598,STATE BANK OF INDIA,SBIN0071255,6600083,Villa Tevere,Bras�_lia,3/8/2019 17:21,Madras - Chicken,1,556.5,5
25551,33,Bhairav,19,0,S6301254599,STATE BANK OF INDIA,SBIN0071254,6601515,Rovereto,Bras�_lia,3/8/2019 16:43,Dupiaza - Chicken,1,626.5,5
24265,8996,Nehal,19,0,H6301263562,HDFC BANK LIMITED ,HDFC0004310,18435824,Hydrabad Biryani Express,Noida,31-05-2019 20:08,Naan,1,175,4
24257,8997,Aahir,18,1,H6301263563,HDFC BANK LIMITED ,HDFC0004311,18456271,Ice Stone Cafe,Noida,31-05-2019 19:12,Naan,4,175,11
24256,8998,Vihan,28,1,H6301263564,HDFC BANK LIMITED ,HDFC0004312,18394367,Kake Da Dhaba,Noida,31-05-2019 19:07,Naan,1,175,4
24244,8999,Laksh,33,1,H6301263565,HDFC BANK LIMITED ,HDFC0004313,18439529,Lucknow Wale Kwality Kabab,Noida,31-05-2019 17:05,Naan,2,175,4
24238,9000,Rahi,32,1,H6301263566,HDFC BANK LIMITED ,HDFC0004314,18435797,Mairu's,Noida,30-05-2019 19:22,Naan,1,175,7
24232,9001,Neel,31,0,H6301263567,HDFC BANK LIMITED ,HDFC0004315,18435321,Meatwale.com,Noida,30-05-2019 17:54,Naan,1,175,2
24225,9002,Ahir,46,0,H6301263568,HDFC BANK LIMITED ,HDFC0004316,18494319,Mr. Biryani Walia,Noida,29-05-2019 19:34,Naan,1,175,4
24222,9003,Aagar,37,0,H6301263569,HDFC BANK LIMITED ,HDFC0004317,18383458,N E Great Foods,Noida,29-05-2019 19:01,Tandoori Roti,1,175,5
24221,9004,Amargeet,37,1,H6301263570,HDFC BANK LIMITED ,HDFC0004318,18352676,New Punjabi Tadka,Noida,29-05-2019 18:31,Naan,1,175,7
24215,9005,Anand,60,0,H6301263571,HDFC BANK LIMITED ,HDFC0004319,18468948,Royal King,Noida,28-05-2019 20:55,Naan,1,175,4
24202,9006,Ambadas,25,1,H6301263572,HDFC BANK LIMITED ,HDFC0004320,18499472,The Dhaba,Noida,27-05-2019 21:12,Naan,1,175,4
24186,9007,Arun,62,0,H6301263573,HDFC BANK LIMITED ,HDFC0004321,18396341,Tikka Express meets Chennai Express,Noida,27-05-2019 17:13,Tandoori Roti,2,175,3
24178,9008,Basant,23,1,H6301263574,HDFC BANK LIMITED ,HDFC0004322,18431190,Vyanjan,Noida,26-05-2019 20:04,Naan,1,175,3
24159,9009,Bhairav,56,0,H6301263575,HDFC BANK LIMITED ,HDFC0004323,18431976,Yolkers,Noida,25-05-2019 21:25,Naan,1,175,3
24153,9010,Bilas,27,1,H6301263576,HDFC BANK LIMITED ,HDFC0004324,18466993,Zaika Kathi Rolls,Noida,25-05-2019 20:25,Naan,1,175,3
24149,9011,Chandrakant,19,1,H6301263577,HDFC BANK LIMITED ,HDFC0004325,18472450,Zaika of Dilli 6,Noida,25-05-2019 19:38,Naan,2,175,8
24147,9012,Deepak,52,0,H6301263578,HDFC BANK LIMITED ,HDFC0004326,18383503,Bikaner's,Noida,25-05-2019 19:36,Naan,1,175,5
24145,9013,Dev,23,1,H6301263579,HDFC BANK LIMITED ,HDFC0004327,311334,Chawla's 2,Noida,25-05-2019 19:34,Naan,1,175,3
24143,9014,Devsakh,56,1,H6301263580,HDFC BANK LIMITED ,HDFC0004328,18308083,Ginnis Oven,Noida,25-05-2019 19:24,Naan,3,175,8
24139,9015,Gaud,30,1,H6301263581,HDFC BANK LIMITED ,HDFC0004329,310240,Cream Bell,Noida,25-05-2019 19:05,Naan,1,175,5
24135,9016,Gungeet,60,0,H6301263582,HDFC BANK LIMITED ,HDFC0004330,18206836,Whomely,Noida,25-05-2019 18:37,Naan,2,175,6
24132,9017,Hemant,30,0,H6301263583,HDFC BANK LIMITED ,HDFC0004331,18376500,Breaktym,Noida,25-05-2019 18:30,Naan,1,175,9
24130,9018,Jayant,18,1,H6301263584,HDFC BANK LIMITED ,HDFC0004332,308877,Chinese Chilli Seasonal,Noida,25-05-2019 18:24,Naan,1,175,8
24121,9019,Jariti,34,0,H6301263585,HDFC BANK LIMITED ,HDFC0004333,311768,Gopala,Noida,25-05-2019 17:42,Naan,1,175,6
24103,9020,Kabir,37,1,H6301263586,HDFC BANK LIMITED ,HDFC0004334,18423127,Hungry's Hut,Noida,24-05-2019 21:24,Naan,1,175,4
24100,9021,Kalyan,59,0,H6301263587,HDFC BANK LIMITED ,HDFC0004335,300550,Kebabplus,Noida,24-05-2019 20:48,Naan,1,175,9
24098,9022,Kamas,63,0,H6301263588,HDFC BANK LIMITED ,HDFC0004336,18337891,Oh Buoy - Flying Fox,Noida,24-05-2019 19:47,Naan,1,175,4
24097,9023,Kaushik,55,0,H6301263589,HDFC BANK LIMITED ,HDFC0004337,9724,Punjabi Pakwaan,Noida,24-05-2019 19:46,Naan,2,175,12
24086,9024,Kedar,23,1,H6301263590,HDFC BANK LIMITED ,HDFC0004338,312558,The Dessert Table Company,Noida,24-05-2019 18:26,Naan,1,175,9
24080,9025,Lalit,31,1,H6301263591,HDFC BANK LIMITED ,HDFC0004339,312777,The Roll Van,Noida,24-05-2019 17:48,Naan,2,175,7
24079,9026,Kiran,22,1,H6301263592,HDFC BANK LIMITED ,HDFC0004340,1495,Kitchen Mantra,Noida,24-05-2019 17:39,Naan,1,175,7
24078,9027,Malhar,18,0,H6301263593,HDFC BANK LIMITED ,HDFC0004341,18258469,Wabi Sabi,Noida,24-05-2019 17:33,Naan,1,175,7
13956,15362,Kiran,23,1,I6301269928,ICICI BANK LIMITED,ICICI23450000,18312656,Shashi's China Wok,New Delhi,12/1/2018 17:32,Pilau Rice,1,206.5,5
13955,15363,Malhar,56,1,I6301269929,ICICI BANK LIMITED,ICICI23450001,18416741,Urban Palate,New Delhi,12/1/2018 17:28,Peshwari Naan,1,206.5,4
13949,15364,Manav,30,1,I6301269930,ICICI BANK LIMITED,ICICI23450002,18425182,Wrapss,New Delhi,11/1/2018 18:27,Keema Naan,3,206.5,5
13943,15365,Mangal,60,0,I6301269931,ICICI BANK LIMITED,ICICI23450003,18464625,China Kitchen,New Delhi,10/1/2018 19:13,Peshwari Naan,1,206.5,1
13942,15366,Mohan,30,0,I6301269932,ICICI BANK LIMITED,ICICI23450004,18435330,Chowringhee,New Delhi,10/1/2018 19:12,Peshwari Naan,1,206.5,1
13938,15367,Narayan,18,1,I6301269933,ICICI BANK LIMITED,ICICI23450005,18435326,D-Food,New Delhi,10/1/2018 18:16,Plain Rice,1,206.5,2
13937,15368,Prabhat,34,0,I6301269934,ICICI BANK LIMITED,ICICI23450006,18464648,Kith N Kin Cafeteria,New Delhi,10/1/2018 18:12,Plain Rice,3,206.5,2
13936,15369,Rishabh,37,1,I6301269935,ICICI BANK LIMITED,ICICI23450007,18464629,Lazeez Rasoi,New Delhi,10/1/2018 17:59,Keema Naan,2,206.5,7
13935,15370,Rushang,59,0,I6301269936,ICICI BANK LIMITED,ICICI23450008,18435322,Red Rose Restaurant,New Delhi,10/1/2018 17:23,Peshwari Naan,1,206.5,5
13935,15371,Rushang,63,0,I6301269936,ICICI BANK LIMITED,ICICI23450008,18435322,Red Rose Restaurant,New Delhi,10/1/2018 17:23,Pilau Rice,2,206.5,5
13932,15372,Sarang,55,0,I6301269937,ICICI BANK LIMITED,ICICI23450009,18014151,Shri Bikaner Sweets & Restaurant,New Delhi,9/1/2018 18:18,Garlic Naan,2,206.5,5
13931,15373,Shwar,23,1,I6301269938,ICICI BANK LIMITED,ICICI23450010,18375378,Welcome Family Restaurant,New Delhi,9/1/2018 17:46,Pilau Rice,1,206.5,5
13931,15374,Shwar,31,1,I6301269938,ICICI BANK LIMITED,ICICI23450010,18375378,Welcome Family Restaurant,New Delhi,9/1/2018 17:46,Garlic Naan,1,206.5,5
13929,15375,Shankar,22,1,I6301269939,ICICI BANK LIMITED,ICICI23450011,310408,Al Bake,New Delhi,9/1/2018 17:21,Pilau Rice,1,206.5,4
13921,15376,Shyam,18,0,I6301269940,ICICI BANK LIMITED,ICICI23450012,1185,Americana Kitchen and Bar,New Delhi,8/1/2018 18:51,Garlic Naan,4,206.5,6
13917,15377,Tanav,19,0,I6301269941,ICICI BANK LIMITED,ICICI23450013,5536,Bawa Snacks Corner,New Delhi,7/1/2018 20:59,Pilau Rice,1,206.5,4
13917,15378,Tanav,19,0,I6301269941,ICICI BANK LIMITED,ICICI23450013,5536,Bawa Snacks Corner,New Delhi,7/1/2018 20:59,Garlic Naan,1,206.5,4
13914,15379,Swarank,18,1,I6301269942,ICICI BANK LIMITED,ICICI23450014,18393213,Bhimsain's Bengali Sweet House,New Delhi,7/1/2018 19:20,Peshwari Naan,3,206.5,5
13914,15380,Swarank,28,1,I6301269942,ICICI BANK LIMITED,ICICI23450014,18393213,Bhimsain's Bengali Sweet House,New Delhi,7/1/2018 19:20,Garlic Naan,1,206.5,5
13894,15381,Vinod,33,1,I6301269943,ICICI BANK LIMITED,ICICI23450015,308336,Cafe Coffee Day,New Delhi,6/1/2018 21:00,Pilau Rice,1,206.5,5
13894,15382,Vinod,32,1,I6301269943,ICICI BANK LIMITED,ICICI23450015,308336,Cafe Coffee Day,New Delhi,6/1/2018 21:00,Peshwari Naan,1,206.5,5
13890,15383,Abhishek,31,0,I6301269944,ICICI BANK LIMITED,ICICI23450016,637,Cafe Coffee Day,New Delhi,6/1/2018 20:25,Garlic Naan,1,206.5,5
13888,15384,Aarav,46,0,I6301269945,ICICI BANK LIMITED,ICICI23450017,313159,Dolce Gelato,New Delhi,6/1/2018 20:04,Garlic Naan,3,206.5,6
13888,15385,Aarav,37,0,I6301269945,ICICI BANK LIMITED,ICICI23450017,313159,Dolce Gelato,New Delhi,6/1/2018 20:04,Pilau Rice,1,206.5,6
13886,15386,Aarin,37,1,I6301269946,ICICI BANK LIMITED,ICICI23450018,3608,Domino's Pizza,New Delhi,6/1/2018 19:49,Pilau Rice,2,206.5,4
13880,15387,Aman,60,0,I6301269947,ICICI BANK LIMITED,ICICI23450019,3636,Gopala,New Delhi,6/1/2018 19:14,Plain Rice,1,206.5,4
13872,15388,Harshvardhan,25,1,I6301269948,ICICI BANK LIMITED,ICICI23450020,312790,New Punjabi Khana,New Delhi,6/1/2018 18:23,Green Salad,1,206.5,10
13872,15389,Harshvardhan,62,0,I6301269948,ICICI BANK LIMITED,ICICI23450020,312790,New Punjabi Khana,New Delhi,6/1/2018 18:23,Peshwari Naan,4,206.5,10
13872,15390,Harshvardhan,23,1,I6301269948,ICICI BANK LIMITED,ICICI23450020,312790,New Punjabi Khana,New Delhi,6/1/2018 18:23,Keema Naan,1,206.5,10
13872,15391,Harshvardhan,37,1,I6301269948,ICICI BANK LIMITED,ICICI23450020,312790,New Punjabi Khana,New Delhi,6/1/2018 18:23,Pilau Rice,3,206.5,10
13866,15392,Jai,60,0,I6301269949,ICICI BANK LIMITED,ICICI23450021,5537,New Vishal Corner,New Delhi,6/1/2018 17:49,Garlic Naan,2,206.5,5
13864,15393,Om,25,1,I6301269950,ICICI BANK LIMITED,ICICI23450022,308347,Punjabi Khana,New Delhi,6/1/2018 17:46,Plain Rice,1,206.5,4
13861,15394,Kiaan,62,0,I6301269951,ICICI BANK LIMITED,ICICI23450023,2602,Rajshree,New Delhi,6/1/2018 17:32,Garlic Naan,1,206.5,5
13859,15395,Karan,23,1,I6301269952,ICICI BANK LIMITED,ICICI23450024,3638,Snack Junction,New Delhi,6/1/2018 17:06,Kulcha Naan,1,206.5,6
